city,state_id,lat,lng,zips
Ladera Ranch,CA,33.5492,-117.6417,92694
East San Gabriel,CA,34.1157,-118.0791,91775 91776
Rosemont,CA,38.5478,-121.3553,95827 95826
Linda,CA,39.1241,-121.5421,95961 95901
Oakdale,CA,37.7618,-120.8468,95361
Calabasas,CA,34.1375,-118.6689,91302 91372
Ramona,CA,33.0474,-116.8766,92065
Ashland,CA,37.6942,-122.1159,94541 94580 94578
Laguna Beach,CA,33.5455,-117.7613,92651 92652
Corcoran,CA,36.0841,-119.5613,93212
Millbrae,CA,37.5994,-122.4023,94030
West Rancho Dominguez,CA,33.9057,-118.2683,90061 90248 90059 90220
Cudahy,CA,33.9631,-118.183,90201 90096
Marina,CA,36.681,-121.7892,93933
Rancho San Diego,CA,32.7624,-116.9197,91941 92019
West Puente Valley,CA,34.0513,-117.9681,91746 91744
Winter Gardens,CA,32.8376,-116.9268,92021 92040
Duarte,CA,34.161,-117.9504,91010 91009
West Carson,CA,33.8229,-118.2931,90710 90502
Lakeside,CA,32.856,-116.904,92021 92040
Yucca Valley,CA,34.1234,-116.4216,92284
American Canyon,CA,38.1796,-122.2583,94503
Port Hueneme,CA,34.1618,-119.2036,93043 93041 93044
Willowbrook,CA,33.9209,-118.2356,90059 90222
Valinda,CA,34.04,-117.93,91744
Granite Bay,CA,38.7601,-121.1714,95746 95650
South Lake Tahoe,CA,38.9393,-119.9828,96150 96151 96152 96154 96157 96158
Stevenson Ranch,CA,34.3894,-118.5883,91381
Imperial,CA,32.839,-115.572,92251
Rosamond,CA,34.8658,-118.2155,93560
Shafter,CA,35.4794,-119.2013,93263
Lomita,CA,33.7933,-118.3175,90717
East Hemet,CA,33.7301,-116.941,92544
Lennox,CA,33.938,-118.3586,90304
La Cañada Flintridge,CA,34.2097,-118.2002,91011 91012
La Crescenta-Montrose,CA,34.2322,-118.2353,91214 91020 91021 91224
Agoura Hills,CA,34.151,-118.7609,91301 91376
Oroville,CA,39.4999,-121.5634,95965 95966 95940
Albany,CA,37.8897,-122.3018,94706
Greenfield,CA,36.3242,-121.2428,93927
Casa de Oro-Mount Helix,CA,32.764,-116.9688,91977 91941 92020 91976
Mead Valley,CA,33.8333,-117.2852,92570
Arvin,CA,35.1944,-118.8306,93203
Orinda,CA,37.8808,-122.179,94563
South El Monte,CA,34.0493,-118.0484,91733
Rosedale,CA,35.3886,-119.2058,93314
Santa Fe Springs,CA,33.9329,-118.0625,90670 90671
Prunedale,CA,36.8064,-121.6555,95076 95004 93907 95012
Valle Vista,CA,33.7436,-116.8871,92544
Hermosa Beach,CA,33.8653,-118.3962,90254
Dixon,CA,38.4469,-121.825,95620
Olivehurst,CA,39.0795,-121.5566,95961
